,PLAYER_NAME,TOTAL_MADE_SHOTS,TOTAL_ATTEMPTED_SHOTS,TOTAL_MISSED_SHOTS,In The Paint (Non-RA) - Center,Above the Break 3 - Center,Restricted Area - Center,Above the Break 3 - Left Side Center,Above the Break 3 - Right Side Center,Mid-Range - Center,In The Paint (Non-RA) - Right Side,Right Corner 3 - Right Side,Mid-Range - Right Side,In The Paint (Non-RA) - Left Side,Left Corner 3 - Left Side,Mid-Range - Left Side,Mid-Range - Right Side Center,Mid-Range - Left Side Center,Backcourt - Back Court,Above the Break 3 - Back Court,Dunk,Hook,Fadeaway,Step Back,Cutting,Turnaround,Floater,Jumpshot,Driving,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,height
73,Jusuf Nurkic,320,627,307,133,33,383,32,16,2,3,3,6,4,6,2,1,3,0,0,65,127,9,1,96,36,21,127,72,27.3,4.2,8.3,0.51,0.3,1.2,0.244,3.9,7.1,0.555,0.528,2.2,3.4,0.64,2.9,8.1,11,4,1.1,1.1,2.3,3.3,10.9,213
74,Eric Gordon,274,618,344,69,50,133,99,163,2,3,57,3,5,26,3,1,2,1,1,1,7,2,13,11,3,44,453,152,27.8,4,9.1,0.443,2.2,5.8,0.378,1.8,3.3,0.561,0.565,0.8,0.9,0.797,0.2,1.6,1.8,2,1,0.4,1.1,1.2,11,190
75,Drew Eubanks,152,253,101,82,0,151,0,0,2,6,1,2,2,2,2,3,0,0,0,85,55,1,0,70,30,15,32,27,15.6,2,3.4,0.601,0,0,1,2,3.3,0.596,0.607,1,1.2,0.774,1.4,2.9,4.3,0.8,0.4,0.8,0.8,1.5,5.1,206
76,Josh Okogie,86,206,120,25,3,82,13,18,0,0,26,3,1,34,1,0,0,0,0,14,0,3,0,11,0,9,110,37,16,1.4,3.4,0.417,0.5,1.6,0.309,1,1.9,0.509,0.488,1.3,1.7,0.745,1.2,1.3,2.6,1.1,0.8,0.4,0.6,1.1,4.6,193
77,Jordan Goodwin,141,382,241,73,20,104,45,39,10,8,18,8,3,19,22,7,6,0,0,3,4,15,23,6,12,71,264,111,18.5,2.5,6.7,0.369,0.7,2.5,0.298,1.7,4.2,0.411,0.424,0.8,1,0.746,1.5,2.9,4.4,2.7,0.8,0.3,1,1.3,6.5,190
78,Devin Booker,642,1305,663,236,114,222,153,115,66,29,8,98,22,28,93,64,57,0,0,17,8,109,58,17,53,74,1003,237,36,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13,0.552,0.55,6,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3,27.1,198
79,Chimezie Metu,123,244,121,48,6,83,32,25,1,3,16,6,0,15,4,2,3,0,0,38,17,3,3,15,11,21,131,54,16.8,2.4,4.8,0.504,0.5,1.8,0.298,1.9,2.9,0.633,0.561,1.1,1.3,0.906,0.8,3,3.8,0.9,0.8,0.3,1,1.4,6.5,206
80,Royce O'Neale,214,539,325,36,62,69,137,140,2,1,26,2,5,50,2,0,0,7,0,4,1,3,14,11,0,33,457,60,24.7,2.7,6.8,0.397,2,5.3,0.37,0.7,1.5,0.496,0.542,0.3,0.4,0.686,0.8,4,4.8,2.8,0.7,0.6,0.9,2.2,7.7,193
81,David Roddy,165,409,244,63,13,154,42,55,0,6,22,7,2,31,10,1,2,1,0,17,25,22,5,22,33,37,211,107,18.1,2.5,6.3,0.403,0.7,2.5,0.293,1.8,3.8,0.478,0.462,0.7,1,0.691,0.8,2.4,3.2,1.2,0.4,0.2,0.9,1.1,6.5,193
82,Kelly Oubre Jr.,387,878,491,159,61,328,83,76,9,8,60,24,7,45,7,6,5,0,0,103,5,17,23,53,7,70,502,227,30.2,5.7,12.9,0.441,1.5,4.8,0.311,4.2,8.1,0.517,0.498,2.6,3.4,0.75,1.4,3.6,5,1.5,1.1,0.7,1.3,2.9,15.4,203
83,Joel Embiid,450,851,401,184,70,246,36,24,116,16,3,38,11,4,36,29,36,2,0,22,24,102,62,18,78,30,520,131,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11,5.6,1.2,1.7,3.8,2.9,34.7,213
84,De'Anthony Melton,139,360,221,34,53,87,63,57,6,1,19,5,3,22,2,4,4,0,0,10,3,3,24,3,7,21,261,69,26.9,3.7,9.5,0.386,2,5.6,0.36,1.6,3.8,0.425,0.493,1.7,2.1,0.835,0.7,3,3.7,3,1.6,0.4,1,2.2,11.1,188
85,Tobias Harris,463,951,488,222,49,306,66,73,30,21,35,19,12,35,48,23,12,0,0,41,17,70,40,32,98,56,552,188,33.8,6.6,13.6,0.487,1.3,3.7,0.353,5.3,9.9,0.537,0.535,2.7,3,0.878,1.1,5.3,6.5,3.1,1,0.7,1.3,1.6,17.2,203
86,Tyrese Maxey,638,1419,781,256,160,392,192,168,37,45,21,54,9,24,17,28,12,3,1,6,4,60,180,15,19,226,945,520,37.5,9.1,20.3,0.45,3,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1,0.5,1.7,2.2,25.9,188
87,Patrick Beverley,158,379,221,95,25,75,47,50,2,10,33,7,4,26,3,2,0,0,0,1,25,12,24,4,25,83,273,134,20,2.2,5.2,0.417,0.8,2.5,0.337,1.3,2.7,0.49,0.497,1,1.2,0.822,0.7,2.6,3.3,2.9,0.6,0.4,0.9,1.8,6.2,188
88,Paul Reed,259,480,221,109,18,263,8,13,15,4,7,14,2,11,7,3,6,0,0,51,50,15,8,34,41,13,142,80,19.4,3.2,5.9,0.54,0.3,0.7,0.368,2.9,5.2,0.563,0.561,0.7,1,0.718,2.4,3.6,6,1.3,0.8,1,0.8,2.4,7.3,206
